Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
JORGENSON Matteo,6,VLAB,Team Visma | Lease a Bike,,,,X,,,X,,,,,,,,,,X,X,X,0,"0,0",5,"STR, MSR, AGR, WA P, LBL",GC,WT
KÜNG Stefan,5,TUD,Tudor Pro Cycling Team,X,,,,,,,,X,,X,X,,X,,,,,,0,"0,0",5,"OML, E3, DDV, RVV, PR",TT,PT
ALAPHILIPPE Julian,4,TUD,Tudor Pro Cycling Team,,,,X,,,X,,,,,,,,,,X,X,X,0,"0,0",5,"STR, MSR, AGR, WA P, LBL",Oneday,WT
PLUIMERS Rick,4,TUD,Tudor Pro Cycling Team,X,X,,,,,,,X,,,X,,,,,X,,,0,"0,0",5,"OML, KBK, E3, RVV, AGR",Oneday,PT
POGAČAR Tadej,14,UAE,UAE Team Emirates - XRG,,,,X,,,X,,,,,X,,X,,,,,X,0,"0,0",5,"STR, MSR, RVV, PR, LBL",Climber,WT
NOVAK Domen,3,UAE,UAE Team Emirates - XRG,,,,X,,,X,,,,,,,,,,X,X,X,0,"0,0",5,"STR, MSR, AGR, WA P, LBL",GC,WT
VENTURINI Clément,3,UNI,Unibet Rose Rockets,,,,,X,,,,X,,,,,,,X,X,X,,0,"0,0",5,"NOK, E3, BR P, AGR, WA P",Oneday,WT
BUSATTO Francesco,3,ALP,Alpecin-Premier Tech,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Oneday,WT
BILBAO Pello,4,BAH,Bahrain - Victorious,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Climber,WT
SEGAERT Alec,4,BAH,Bahrain - Victorious,X,,,,,,,,,,X,X,,X,,,,,,0,"0,0",4,"OML, DDV, RVV, PR",TT,WT
MIQUEL Pau,3,BAH,Bahrain - Victorious,X,X,,,,,,,,,,X,,,,,X,,,0,"0,0",4,"OML, KBK, RVV, AGR",Hills,WT
LAPEIRA Paul,4,DEC,Decathlon CMA CGM Team,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Oneday,WT
PARET-PEINTRE Aurélien,4,DEC,Decathlon CMA CGM Team,,,,,,,X,,,,,,,,,,X,X,X,0,"0,0",4,"MSR, AGR, WA P, LBL",GC,WT
HEALY Ben,7,EFE,EF Education - EasyPost,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Oneday,WT
VAN EETVELT Lennert,5,LOT,Lotto Intermarché,,,,X,,,X,,,,,,,,,,,X,X,0,"0,0",4,"STR, MSR, WA P, LBL",Climber,PT
MENTEN Milan,4,LOT,Lotto Intermarché,,,X,,X,,,,,,,,,,X,X,,,,0,"0,0",4,"SAM, NOK, RVL, BR P",Oneday,WT
MERLIER Tim,8,SQS,Soudal - Quick Step,,,,,,,,X,,X,,,X,X,,,,,,0,"0,0",4,"RVB, IFF, SP, PR",Sprint,WT
COVI Alessandro,3,JAY,Team Jayco AlUla,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Oneday,WT
BARGUIL Warren,3,PIC,Team Picnic PostNL,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Climber,WT
TULETT Ben,4,VLAB,Team Visma | Lease a Bike,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",GC,WT
BARRÉ Louis,4,VLAB,Team Visma | Lease a Bike,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Oneday,PT
FIORELLI Filippo,3,VLAB,Team Visma | Lease a Bike,,X,,X,,,,,,,,,,,,,X,,X,0,"0,0",4,"KBK, STR, AGR, LBL",Hills,WT
CHRISTEN Jan,5,UAE,UAE Team Emirates - XRG,,,,X,,,,,,,,,,,,X,X,X,,0,"0,0",4,"STR, BR P, AGR, WA P",Oneday,WT
COSNEFROY Benoît,5,UAE,UAE Team Emirates - XRG,,,,,,,,,,,,,,,,X,X,X,X,0,"0,0",4,"BR P, AGR, WA P, LBL",Oneday,WT
JOHANNESSEN Tobias Halland,5,UNOX,Uno-X Mobility,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Climber,WT
CHAMPOUSSIN Clément,3,AST,XDS Astana Team,,,,X,,,,,,,,,,,,,X,X,X,0,"0,0",4,"STR, AGR, WA P, LBL",Climber,WT
ARANBURU Alex,4,COF,Cofidis,,,,,,,X,,,,,,,,,,X,X,,0,"0,0",3,"MSR, AGR, WA P",Oneday,PT
COQUARD Bryan,4,COF,Cofidis,,,,,,,X,,,,,,,,,X,X,,,0,"0,0",3,"MSR, BR P, AGR",Sprint,PT
IZAGIRRE Ion,3,COF,Cofidis,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,PT
BIERMANS Jenthe,3,COF,Cofidis,X,,X,,X,,,,,,,,,,,,,,,0,"0,0",3,"OML, SAM, NOK",Oneday,WT
SEIXAS Paul,5,DEC,Decathlon CMA CGM Team,,,,X,,,,,,,,,,,,,,X,X,0,"0,0",3,"STR, WA P, LBL",Climber,WT
PEDERSEN Rasmus Søjberg,3,DEC,Decathlon CMA CGM Team,X,,,,,,,X,X,,,,,,,,,,,0,"0,0",3,"OML, RVB, E3",Sprint,WT
BAUDIN Alex,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,X,X,X,0,"0,0",3,"AGR, WA P, LBL",GC,PT
